INFO 2024-12-09 11:07:07,975 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-09 11:07:07,976 autoreload Waiting for apps ready_event.
DEBUG 2024-12-09 11:07:07,992 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-09 11:07:08,006 autoreload Watching dir C:\Users\Atomi\OneDrive\Рабочий стол\Web\web-site\cafe\polls\templates with glob **/*.
DEBUG 2024-12-09 11:07:08,007 autoreload Watching dir C:\Users\Atomi\OneDrive\Рабочий стол\Web\web-site\cafe\locale with glob **/*.mo.
DEBUG 2024-12-09 11:07:08,007 autoreload Watching dir C:\Users\Atomi\OneDrive\Рабочий стол\Web\web-site\cafe\polls\locale with glob **/*.mo.
DEBUG 2024-12-09 11:07:08,114 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-09 11:07:08,137 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-09 11:07:08,251 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\DLLs\_bz2.pyd first seen with mtime 1722945796.0
DEBUG 2024-12-09 11:07:08,252 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1726014231.4363635
DEBUG 2024-12-09 11:07:08,252 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1726014231.896016
DEBUG 2024-12-09 11:07:08,252 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1726014227.7675889
DEBUG 2024-12-09 11:07:08,253 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\_compression.py first seen with mtime 1722945750.0
DEBUG 2024-12-09 11:07:08,253 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1726014231.8795073
DEBUG 2024-12-09 11:07:08,254 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1726014231.5420113
DEBUG 2024-12-09 11:07:08,254 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1726014231.6892095
DEBUG 2024-12-09 11:07:08,254 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1726014231.7102575
DEBUG 2024-12-09 11:07:08,255 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\renderers.py first seen with mtime 1726014231.7507317
DEBUG 2024-12-09 11:07:08,255 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py first seen with mtime 1722945750.0
DEBUG 2024-12-09 11:07:08,255 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1726014231.516829
DEBUG 2024-12-09 11:07:08,255 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1726014230.4460313
DEBUG 2024-12-09 11:07:08,257 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\constants.py first seen with mtime 1726014231.6776228
DEBUG 2024-12-09 11:07:08,257 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1726014231.9120615
DEBUG 2024-12-09 11:07:08,257 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\random.py first seen with mtime 1722945752.0
DEBUG 2024-12-09 11:07:08,258 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1726014231.6696239
DEBUG 2024-12-09 11:07:08,258 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_tzpath.py first seen with mtime 1722945752.0
DEBUG 2024-12-09 11:07:08,258 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\base.py first seen with mtime 1726014231.4568925
DEBUG 2024-12-09 11:07:08,258 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1726014230.9770372
DEBUG 2024-12-09 11:07:08,259 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1726014231.4708817
DEBUG 2024-12-09 11:07:08,259 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\linecache.py first seen with mtime 1722945752.0
DEBUG 2024-12-09 11:07:08,259 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1722945750.0
DEBUG 2024-12-09 11:07:08,259 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1726014231.6696239
DEBUG 2024-12-09 11:07:08,260 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1726014226.5920362
DEBUG 2024-12-09 11:07:08,260 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1726014231.9600627
DEBUG 2024-12-09 11:07:08,260 autoreload File C:\Users\Atomi\OneDrive\Рабочий стол\Web\web-site\cafe\polls\admin.py first seen with mtime 1733204351.9511807
DEBUG 2024-12-09 11:07:08,260 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\lzma.py first seen with mtime 1722945752.0
DEBUG 2024-12-09 11:07:08,260 autoreload File C:\Users\Atomi\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1726014227.766468
